dim1 dim2 id batch cens_rates
-3.18334710164113 2.41004817972127 1 high_detection 0.520689032990495
-3.71932884076535 2.46695015287221 1 low_detection 0.957996203088812
-3.01505684437272 1.35346721040135 1 high_detection 0.574864182252834
-5.47988392923453 3.9894628275922 1 low_detection 0.939272462532524
-2.95226243783135 1.6236505667508 1 high_detection 0.594765093589675
-0.773160317315623 3.60931474181979 1 low_detection 0.958823958357804
-4.11837575733535 3.57339245071166 1 high_detection 0.553407582655159
-3.61027639445949 3.55213588640512 1 low_detection 0.935492828655818
-3.05154474860626 3.39534637127466 1 high_detection 0.533688767950224
-3.07085893416252 2.52190491433271 1 low_detection 0.951909337663333
-4.20040085220649 3.2069295411095 1 high_detection 0.592657713994486
-3.17625955142358 3.51900266724528 1 low_detection 0.948335127146631
-2.48072001726043 1.71812360491645 1 high_detection 0.626639628743788
-2.06529931323239 2.12077114530954 1 low_detection 0.963195632038917
-2.61458250326226 4.49270692677718 1 high_detection 0.576653664784414
-3.50327460501778 2.25336247046277 1 low_detection 0.933063045151566
-2.35335085949983 2.76031439121029 1 high_detection 0.595413615907248
-2.34744961693127 2.24510625424832 1 low_detection 0.966352379161566
-2.5192246494566 2.13745489257147 1 high_detection 0.623929300655154
-0.0653178962041499 1.88858480126949 1 low_detection 0.93708640190509
-1.94412394980445 3.59501713629357 1 high_detection 0.514681391093707
-4.39422704227548 2.56887180633953 1 low_detection 0.951368523510366
-1.90475919400141 2.18715588622139 1 high_detection 0.606942962412059
-2.3773745275362 2.07132249500315 1 low_detection 0.961457975277659
-1.53205523471332 1.21960914191813 1 high_detection 0.563118200842046
-2.72394780495979 2.9143178214871 1 low_detection 0.932580696798247
-3.67273600253024 3.50728543244168 1 high_detection 0.573011222060673
-2.80559187611838 3.15476516585874 1 low_detection 0.948575130265992
-3.82060175321909 2.67201680641278 1 high_detection 0.645123820840923
-5.3020259384755 2.24167085630866 1 low_detection 0.917408826351082
-2.74132140066834 2.83470804577208 1 high_detection 0.549849896270627
-1.77678614894797 2.79979180050163 1 low_detection 0.924421499695209
-3.641045615891 3.62457192476151 1 high_detection 0.576361321163563
-1.02010664399485 2.53224336013835 1 low_detection 0.962735855704596
-3.13859361117624 1.93344830461839 1 high_detection 0.537684668181998
-1.39395185401476 1.50418986325899 1 low_detection 0.959010046203134
-2.3392415779946 2.7915670001651 1 high_detection 0.595279133576402
-1.80164540095557 3.48366289817672 1 low_detection 0.920416322321041
-4.17933276375494 1.55010736916018 1 high_detection 0.481559852109303
-3.27628564647348 2.05668430619115 1 low_detection 0.954235869685749
